account.licenseNumber;account.name;listing.address.city;listing.address.country;listing.address.street;listing.title
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Belo Horizonte;BR;Rua Cônsul Walter;Belo Horizonte - Apartamento Padrão - Buritis
006674-J-RJ;M.M Assessoria Imobiliaria Ltda;Rio de Janeiro;BR;Rua Artur Bernardes;2 quartos Catete 94m
normal;XDO;Rio de Janeiro;BR;Rua Carolina Santos;Apartamento de 60 metros quadrados no bairro Méier com 2 quartos
normal;PORTAL ADMINISTRAÇÃO DE IMÓVEIS LTDA;Porto Alegre;BR;Rua Duque de Caxias;PORTO ALEGRE - Apartamento Padrão - CENTRO
normal;GLATT CONSULTORIA ASS. EMPRESARIAL;Rio de Janeiro;BR;Rua Humberto de Campos;LEBLON – RUA HUMBERTO DE CAMPOS (SELVA DE PEDRA) – APARTAMENTO EM ÓTIMO ESTADO
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Avenida Condessa Elizabeth de Robiano;São Paulo - Apartamento Padrão - Tatuapé
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Santo André;BR;Rua Cristóvão Colombo;Santo André - Apartamento Padrão - Vila América
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Santo André;BR;Rua Lombroso;Santo André - Apartamento Padrão - Parque das Nações
11774-F-RJ;ROBERTO LUIZ HERMETO;Rio de Janeiro;BR;Rua do Humaitá;Apartamento para aluguel possui 76 metros quadrados com 2 quartos em Humaitá - Rio de Janeiro - RJ
024463-J-SP;GRUPO CAPI;São Paulo;BR;Rua Tuiuti;São Paulo - Apartamento Padrão - Tatuapé
06926-J-RJ;MIRAS URBS CONSULTORIA IMOBILIÁRIA;Rio de Janeiro;BR;Rua Washington Luís;Apartamento 52m², quarto e sala, Centro.
13498-J-SP;Maxtal Administração de Imóveis Ltda Epp;São Paulo;BR;Rua Eduardo Leopoldo;São Paulo - Apartamento Padrão - Vila Guilherme
131313-J-SP;Live Here Serviços Imobiliários;Ribeirão Preto;BR;Avenida do Café;Ribeirão Preto - Apartamento Padrão - Vila Tibério
17452-J-SP;Next Soluções Imobiliárias;Campinas;BR;Rua Olavo Bilac;Campinas - Apartamento Padrão - Cambuí
06837-J-RJ;SUPREME CONSULTORIA IMOBILIÁRIA LTDA;Rio de Janeiro;BR;Praça Mozart Firmeza;Apartamento de 02 quartos no Recreio dos Bandeirantes
00254-J-SC;San Remos Imóveis;Florianópolis;BR;Rodovia Amaro Antônio Vieira;Florianópolis - Apartamento Padrão - Itacorubi
67790-F-RJ;RAQUEL FEITAL IMOVEIS;Rio de Janeiro;BR;Rua do Catete;Rio de Janeiro - Apartamento Padrão - Catete
09741-J-SP;J.H.I. IMOVEIS E CONSULTORIA LTDA - EPP;São Paulo;BR;normal;São Paulo - Apartamento Padrão - Jardim Paulista
normal;Cau Costa Imóveis;Itajaí;BR;Rua Indaial;ITAJAí - Apartamento Padrão - São Judas
04482-J-RJ;REALLER IMÓVEIS;Rio de Janeiro;BR;Avenida Afonso Arinos de Melo Franco;Rio de Janeiro - Apartamento Padrão - BARRA DA TIJUCA
03366-J-MG;Valore Imóveis;Nova Lima;BR;Alameda Oscar Niemeyer;NOVA LIMA - Apartamento Padrão - Vila Da Serra
00769-J-SP;ROSSI IMÓVEIS;São Paulo;BR;Rua João Antônio de Oliveira;São Paulo - Apartamento Padrão - Mooca
normal;ADM CAPITAL  - Imóveis;Rio de Janeiro;BR;Estrada da Posse;Rio de Janeiro - Apartamento Padrão - Campo Grande
03009-J-MG;BEAGA EMPRENDIMENTOS;Nova Lima;BR;Alameda do Ingá;Nova Lima - Apartamento Padrao - VALE DO SERENO
131313-J-SP;Live Here Serviços Imobiliários;Piracicaba;BR;Rua Jacob Diehl;Piracicaba - Apartamento Padrão - Morumbi
30338-J-SP;PINHEIRO IMÓVEIS VENDAS ACESSORIA E ADMINISTRAÇÃO LTDA;São Bernardo do Campo;BR;Rua Maurício Jacquey;SÃO BERNARDO DO CAMPO - Apartamento Padrão - RUDGE RAMOS
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Clemente Pereira;São Paulo - Apartamento Padrão - Ipiranga
17452-J-SP;Next Soluções Imobiliárias;Campinas;BR;normal;Campinas - Apartamento Padrão - Jardim Margarida
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Rio de Janeiro;BR;Rua Emília Sampaio;Rio de Janeiro - Apartamento Padrão - Vila Isabel
03751-J-PR;Basi Assessoria Imobiliária;Curitiba;BR;Rua Gregório de Matos;Apartamento com 3 quartos para alugar por 1150.00, 66.90 m2 - SAO LOURENCO - CURITIBA/PR
14226-J-SP;LELLO IMÓVEIS TATUAPÉ LOCAÇÃO;São Paulo;BR;Rua Padre Antônio de Sá;São Paulo - Apartamento Padrão - Tatuapé
28442-J-SP;SGM IMÓVEL;São Paulo;BR;Rua Carlos Gomes;SãO PAULO - Apartamento Padrão - Tucuruvi
11308-J-SP;Patamar Imobiliária Sociedade Simples ltda;São Paulo;BR;Avenida Engenheiro Heitor Antônio Eiras Garcia;São Paulo - Apartamento Padrão - Jardim Esmeralda
21548-F-RJ;CARLOS ADOLFO BECKER DOS SANTOS;Rio de Janeiro;BR;Rua Alceu Amoroso Lima;Barra Amplo Quarto e Sala Próximo Metro
normal;PORTAL ADMINISTRAÇÃO DE IMÓVEIS LTDA;Porto Alegre;BR;Rua Duque de Caxias;PORTO ALEGRE - Apartamento Padrão - CENTRO
03366-J-MG;Valore Imóveis;Nova Lima;BR;Rodovia Januário Carneiro;NOVA LIMA - Apartamento Padrão - Ipê
21169-J-SP;LOPES IMOPLAN;São Paulo;BR;Avenida Mofarrej;São Paulo - Apartamento Padrão - VILA LEOPOLDINA
normal;MARINA DE SOUZA MIRÓ OLIVEIRA KORN;Rio de Janeiro;BR;Rua Voluntários da Pátria;BOTAFOGO - 2 QTOS COM VAGA
21169-J-SP;LOPES IMOPLAN;São Paulo;BR;Rua Guaipá;São Paulo - Apartamento Padrão - VILA LEOPOLDINA
03366-J-MG;Valore Imóveis;Belo Horizonte;BR;Rua Outono;BELO HORIZONTE - Apartamento Padrão - Carmo
13498-J-SP;Maxtal Administração de Imóveis Ltda Epp;São Paulo;BR;Rua Ventura Carneiro;São Paulo - Apartamento Padrão - Vila Celeste
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Porto Alegre;BR;Rua General Auto;Porto Alegre - Apartamento Padrão - Centro Histórico
25618-J-SP;Sh Prime Imóveis;São Paulo;BR;Rua Paris;São Paulo - Apartamento Padrão - Vila Madalena
26302-F-RJ;THERESA  NOVIS;Rio de Janeiro;BR;Praia Botafogo;Linda vista de cartão postal.
26070-J-SP;OFF IMÓVEIS NEGÓCIOS IMOBILIÁRIOS LTDA ME;Campinas;BR;Rua Martinho Calsavara;Campinas - Apartamento Padrão - Swift
05207-J-RJ;By Three Administração de Bens Ltda.;Rio de Janeiro;BR;Rua Mariz e Barros;Apartamento de 80 metros quadrados no bairro Tijuca com 2 quartos
04269-J-PR;CORTEZE IMOVEIS;Curitiba;BR;Rua Engenheira Enedina Alves Marques;Curitiba - Apartamento Padrão - Cajuru
28772-J-SP;Pellegrino Imóveis;São Paulo;BR;Rua Leopoldo Couto de Magalhães Júnior;São Paulo - Apartamento Padrão - Itaim Bibi
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Rio de Janeiro;BR;Rua Macedo Sobrinho;Rio de Janeiro - Apartamento Padrão - Humaitá
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Coriolano Durand;São Paulo - Apartamento Padrão - Vila Campestre
36701-F-RJ;Alpes Administradora de Teresópolis LTDA - ME;Teresópolis;BR;normal;Apartamento de 70 metros quadrados no bairro Agriões com 2 quartos
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Diogo Pereira;São Paulo - Apartamento Padrão - Portal do Morumbi
normal;PORTAL ADMINISTRAÇÃO DE IMÓVEIS LTDA;Porto Alegre;BR;Rua Duque de Caxias;PORTO ALEGRE - Apartamento Padrão - CENTRO
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Dom Bosco;São Paulo - Apartamento Padrão - Mooca
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Benedito Faber;São Paulo - Apartamento Padrão - Portal do Morumbi
49700-F-RS;SILVEIRA - LOCAÇÃO E VENDA;Canoas;BR;Avenida Farroupilha;CANOAS - Apartamento Padrão - Marechal Rondon
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Carlos Bigatti;São Paulo - Apartamento Padrão - Cangaíba
028974-J-SP;IMIGRANTES IMOVEIS;Praia Grande;BR;Rua Doutor Roberto Shoji;Praia Grande - Apartamento Padrão - Boqueirão
01397-J-RJ;PALMARES ADMINISTRADORA DE IMÓVEIS LTDA;Rio de Janeiro;BR;Rua Francisco Otaviano;Apartamento para aluguel com 77 metros quadrados com 2 quartos em Copacabana - Rio de Janeiro - RJ
131313-J-SP;Live Here Serviços Imobiliários;Ribeirão Preto;BR;Rua Manoel Clemente Gomes;Ribeirão Preto - Apartamento Padrão - Jardim Nova Alianca
131313-J-SP;Live Here Serviços Imobiliários;Sorocaba;BR;Rua Rocha Pombo;Sorocaba - Padrão - Vila Jardini
normal;SELAIMEN IMOVEIS LTDA;Porto Alegre;BR;Avenida Assis Brasil;Apartamento de 75 metros quadrados no bairro Santa Maria Goretti com 2 quartos
00375-J-RJ;SANTOS ADMINISTRADORA DE IMOVEIS LTDA;Rio de Janeiro;BR;Rua Tonelero;Apto. 501 - Rua Tonelero, Copacabana/RJ
03214-J-MG;MIRIAN DAYRELL IMÓVEIS;Belo Horizonte;BR;normal;Belo Horizonte - Apartamento Padrão - Serra
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Gaspar Lourenço;São Paulo - Apartamento Padrão - Vila Mariana
111032-F-SP;Amerimoveis;Americana;BR;normal;Americana - Apartamento Padrão - Jardim Paulista
281160-F-RJ;IVANILDA ALVES FERNANDES;Rio de Janeiro;BR;Rua das Laranjeiras;Alugo ótimo apto na Rua das Laranjeiras - Rio de Janeiro
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Niterói;BR;Rua Pereira Nunes;Niterói - Apartamento Padrão - Ingá
11774-F-RJ;ROBERTO LUIZ HERMETO;Rio de Janeiro;BR;Rua Vice-Governador Rúbens Berardo;Apartamento para venda possui 70 metros quadrados com 2 quartos em Gávea - Rio de Janeiro - RJ
01372-J-RJ;CIPA - PARTICIPAÇÕES E ADMINISTRAÇÃO S/A;Rio de Janeiro;BR;Rua Uruguai;RIO DE JANEIRO - Apartamento Padrão - Tijuca
31833-J-SP;SÓLIDA IMÓVEIS JUNDIAÍ;Jundiaí;BR;normal;Jundiaí - Apartamento Padrão - Jardim São Bento
18591-J-SP;Moratta Vila Prudente;São Paulo;BR;Rua Miguel Antônio Flangini;São Paulo - Apartamento Padrão - Jardim Avelino
2095-J-MG;CEU LAR NETIMOVEIS;Belo Horizonte;BR;normal;Belo Horizonte - Apartamento Padrão - Anchieta
21169-J-SP;LOPES IMOPLAN;São Paulo;BR;Rua Fortunato Ferraz;São Paulo - Apartamento Padrão - LAPA
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Belo Horizonte;BR;Rua Sônia;Belo Horizonte - Apartamento Padrão - Fernão Dias
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Campinas;BR;Rua Uruguaiana;Campinas - Apartamento Padrão - Bosque
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Guarulhos;BR;Rua Alberto Hinoto Bento;Guarulhos - Apartamento Padrão - Macedo
25618-J-SP;Sh Prime Imóveis;São Paulo;BR;Rua Martim Francisco;São Paulo - Apartamento Padrão - Santa Cecília
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Belo Horizonte;BR;Rua Araruana;Belo Horizonte - Apartamento Padrão - Salgado Filho
19371-J-SP;Open Door Imóveis;São Paulo;BR;Avenida Dom Pedro I;São Paulo - Apartamento Padrão - Vila Monumento
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Diadema;BR;Rua Marechal Deodoro;Diadema - Apartamento Padrão - Centro
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Rio de Janeiro;BR;Rua Tavares Bastos;Rio de Janeiro - Apartamento Padrão - Catete
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Curitiba;BR;Rua Hilário Moro;Curitiba - Apartamento Padrão - Tingui
normal;Brognoli Digital;Florianópolis;BR;Rodovia Virgílio Várzea;FLORIANÓPOLIS - Apartamento Padrão - SACO GRANDE
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Avenida Paulista;São Paulo - Apartamento Padrão - Jardim Paulista
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Rio de Janeiro;BR;Rua Ferreira de Andrade;Rio de Janeiro - Apartamento Padrão - Meier
normal;Brognoli Digital;Florianópolis;BR;Rua João Motta Espezim;FLORIANÓPOLIS - Apartamento Padrão - SACO DOS LIMÕES
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Gomes de Carvalho;São Paulo - Apartamento Padrão - Vila Olímpia
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Faustolo;São Paulo - Apartamento Padrão - Água Branca
111032-F-SP;Amerimoveis;Americana;BR;normal;Americana - Apartamento Padrão - Jardim Paulista
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Avenida Cupecê;São Paulo - Apartamento Padrão - Jardim Marajoara
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Nova York;São Paulo - Apartamento Padrão - Brooklin
103714-J-SP;ROFE;São Paulo;BR;Rua Nicolau Barreto;São Paulo - Apartamento Padrão - Brooklin
131313-J-SP;Live Here Serviços Imobiliários;Ribeirão Preto;BR;Rua Alfredo Benzoni;Ribeirão Preto - Padrão - Parque Industrial Lagoinha
023886-F-RJ;Rocco Maruca;Rio de Janeiro;BR;Avenida Epitácio Pessoa;Apartamento de 260 metros quadrados no bairro Ipanema com 4 quartos
24067-J-SP;Donizete Imóveis - Vl. Assunção;Santo André;BR;Rua Belém;Santo André - Apartamento Padrão - Vila Assunção
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Campinas;BR;Rua Salvador Penteado;Campinas - Apartamento Padrão - Bonfim
33032-J-SP;LOCALL IMÓVEIS;São José do Rio Preto;BR;normal;Apartamento residencial para locação, Vila Angélica, São José do Rio Preto.
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Barueri;BR;Rua Augusto dos Anjos;Barueri - Apartamento Padrão - Alphaville
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Monsenhor Passaláqua;São Paulo - Apartamento Padrão - Bela Vista
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua João Moura;São Paulo - Apartamento Padrão - Vila Madalena
2095-J-MG;CEU LAR NETIMOVEIS;Belo Horizonte;BR;normal;Belo Horizonte - Apartamento Padrão - Santo Antônio
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Desembargador Aragão;São Paulo - Apartamento Padrão - Vila Mariana
03366-J-MG;Valore Imóveis;Belo Horizonte;BR;Rua das Guianas;BELO HORIZONTE - Apartamento Padrão - Sion
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Rio de Janeiro;BR;Estrada do Engenho D'Agua;Rio de Janeiro - Apartamento Padrão - Anil
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Maria Cândida;São Paulo - Apartamento Padrão - Santana
10179-J-SP;PROVECTUM IMÓVEIS;Campinas;BR;Rua Santos Dumont;Campinas - Apartamento Padrão - Cambuí
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Doutor Martins de Oliveira;São Paulo - Apartamento Padrão - Jardim Londrina
8285-J-RJ;Condotech Imoveis;Rio de Janeiro;BR;Rua Maestro Vila Lobos;Rio de Janeiro - Apartamento Padrão - Tijuca
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Francisco Luiz de Souza Júnior;São Paulo - Apartamento Padrão - Água Branca
25225-J-SP;Remax City Jundiaí;Jundiaí;BR;normal;Jundiaí - Apartamento Padrão - Jardim Ermida I
35315-F-RS;IMOBILIÁRIA RODRIGUES;São Leopoldo;BR;normal;São Leopoldo - Apartamento Padrão - Rio dos Sinos
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Rio de Janeiro;BR;Rua General Queiroz Saião;Rio de Janeiro - Apartamento Padrão - Irajá
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Maracá;São Paulo - Apartamento Padrão - Jabaquara
29076-J-SP;DUT PRIME IMÓVEIS;Campinas;BR;Avenida Dona Libânia;Campinas - Apartamento Padrão - Centro
28626-F-RJ;MARCELO FERREIRA RABELLO;Petrópolis;BR;normal;Apartamento em condomínio fechado em Samambaia
29484-J-SP;LINK CORRETOR - CORRETORES ASSOCIADOS LTDA - ME;Ubatuba;BR;Rua Tibiriçá;Ubatuba - Apartamento Padrão - Praia Grande
32448-J-SP;ABG Administração de Condomínios;São Paulo;BR;Rua Coelho de Carvalho;São Paulo - Apartamento Padrão - Alto de Pinheiros
07389-J-RJ;BLOCK IMÓVEIS;Rio de Janeiro;BR;Rua Domingos Sousa Leão Júnior;Rio de Janeiro - Apartamento Padrão - Recreio dos Bandeirantes
03524-J-MG;LOCUS ADMINSTRAÇÃO DE IMÓVEIS;Belo Horizonte;BR;Rua Bernardo Guimarães;Belo Horizonte - Apartamento Padrão - Lourdes
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Jaci;São Paulo - Apartamento Padrão - Chácara Inglesa
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Campinas;BR;Rua Professor Saul Carlos da Silva;Campinas - Apartamento Padrão - Jardim Santa Marcelina
131313-J-SP;Live Here Serviços Imobiliários;São Carlos;BR;Rua Rosalino Bellini;São Carlos - Padrão - Parque Arnold Schimidt
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Andrade Reis;São Paulo - Apartamento Padrão - Mooca
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Rio de Janeiro;BR;Estrada do Engenho D'Agua;Rio de Janeiro - Apartamento Padrão - Anil
20269-J-SP;J NEGRAO IMOVEIS LTDA-ME;São Paulo;BR;normal;SÃO PAULO - Apartamento Padrão - JARDIM PATENTE NOVO
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Barueri;BR;Avenida Copacabana;Barueri - Apartamento Padrão - Alphaville
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Belo Horizonte;BR;Rua Cardeal Stepinac;Belo Horizonte - Apartamento Padrão - Cidade Nova
30338-J-SP;PINHEIRO IMÓVEIS VENDAS ACESSORIA E ADMINISTRAÇÃO LTDA;São Caetano do Sul;BR;Rua Rio Grande do Sul;SÃO CAETANO DO SUL - Apartamento Padrão - SANTO ANTÔNIO
25949-J-SP;NSK3 NEGÓCIOS IMOBILIÁRIOS LTDA;São Paulo;BR;Rua Guaianases;São Paulo - Apartamento Padrão - Campos Elíseos
24242-F-RJ;DM IMÓVEIS;Rio de Janeiro;BR;Rua Cupertino Durão;LEBLON - ALUGUEL - CUPERTINO DURÃO - SALA - QUARTO
33156-J-SP;Lopes Alphavilly;Indaiatuba;BR;Rua Luiz Eugênio da Silveira Filho;Indaiatuba - Apartamento Padrão - Jardim Novo Horizonte
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Doutor Nicolau de Sousa Queirós;São Paulo - Apartamento Padrão - Vila Mariana
normal;ALUGA NEGÓCIOS IMOBILIÁRIOS LTDA;Porto Alegre;BR;Rua General Lima e Silva;Apartamento para aluguel com 1 quarto, bairro Cidade Baixa
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Osasco;BR;Avenida Santo Antônio;Osasco - Apartamento Padrão - Centro
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Curitiba;BR;Rua Renato Polatti;Curitiba - Apartamento Padrão - Campo Comprido
normal;ACRIL ADMINISTRADORA DE IMOVEIS LIMITADA;Rio de Janeiro;BR;Rua Santa Clara;Excelente Apartamento no Bairro Peixoto
23394-J-SP;Rocca e França Negócios Imobiliários ltda;São Paulo;BR;Rua Clodomiro Amazonas;SÃO PAULO - Apartamento Padrão - VILA OLIMPIA
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;São Paulo;BR;Rua Dom Luís Felipe de Orleans;São Paulo - Apartamento Padrão - Vila Maria
20995-J-SP;Predial Lins Premium Administração e Vendas Ltda;São Paulo;BR;Rua Frederico Von Martius;São Paulo - Apartamento Padrão - Vila Monumento
23669-J-SP;FORTUNA IMÓVEIS;São Paulo;BR;Rua Betel;SÃO PAULO - Apartamento Padrão - MIRANDÓPOLIS
125551-F-SP;3B Imóveis;São Paulo;BR;normal;São Paulo - Apartamento Padrão - Pirituba
11888-J-GO;Desenrola - SP;São Paulo;BR;Rua Tabatinguera;Código do anúncio: 33684
28772-J-SP;Pellegrino Imóveis;São Paulo;BR;Rua Alvorada;São Paulo - Apartamento Padrão - Vila Olímpia
02119-J-PR;CRV Assessoria Imobiliária SS Ltda;Londrina;BR;normal;Londrina - Apartamento Padrão - Jardim Higienópolis
20995-J-SP;Predial Lins Premium Administração e Vendas Ltda;São Paulo;BR;Rua Scuvero;São Paulo - Apartamento Padrão - Cambuci
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Campinas;BR;Rua Barreto Leme;Campinas - Apartamento Padrão - Cambuí
24344-J-SP;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;Rio de Janeiro;BR;Estrada do Engenho D'Agua;Rio de Janeiro - Apartamento Padrão - Anil
06322-J-SP;NADRUZ ASSESSORIA IMOBILIARIA S/C LTDA - ME;São José do Rio Preto;BR;normal;APTO ZONA SUL PARA LOCAÇÃO, AO LADO DO COL. UNIVERSITÁRIO, A 300 METROS DO SHOPPING PLAZA, FÁCIL ACE
02119-J-PR;CRV Assessoria Imobiliária SS Ltda;Londrina;BR;normal;Londrina - Apartamento Padrão - Paraíso
